Time,NOX,CO,,,,,,,,
2013-04-16 10:00:00 JST,0.028,0.3,,,,,,,,
2013-04-16 10:10:00 JST,0.012,0.0,,,,,,,,
2013-04-16 10:20:00 JST,0.021,0.3,,,,,,,,
2013-04-16 10:30:00 JST,0.016,0.2,,,,,,,,
2013-04-16 10:40:00 JST,0.015,0.3,,,,,,,,
2013-04-16 10:50:00 JST,0.015,0.2,,,,,,,,
2013-04-16 11:00:00 JST,0.016,0.2,,,,,,,,
2013-04-16 11:10:00 JST,0.06,0.0,,,,,,,,
2013-04-16 11:20:00 JST,0.09,0.3,,,,,,,,
2013-04-16 11:30:00 JST,0.014,0.2,,,,,,,,
2013-04-16 11:40:00 JST,0.014,0.3,,,,,,,,
2013-04-16 11:50:00 JST,0.015,0.2,,,,,,,,
2013-04-16 12:00:00 JST,0.015,0.2,,,,,,,,
2013-04-16 12:10:00 JST,0.006,0.0,,,,,,,,
2013-04-16 12:20:00 JST,0.009,0.3,,,,,,,,
2013-04-16 12:30:00 JST,0.012,0.2,,,,,,,,
2013-04-16 12:40:00 JST,0.014,0.3,,,,,,,,
2013-04-16 12:50:00 JST,0.015,0.2,,,,,,,,
2013-04-16 13:00:00 JST,0.015,0.3,,,,,,,,
2013-04-16 13:10:00 JST,0.024,0.6,,,,,,,,
2013-04-16 13:20:00 JST,0.024,0.3,,,,,,,,
2013-04-16 13:30:00 JST,0.022,0.2,,,,,,,,
2013-04-16 13:40:00 JST,0.022,0.3,,,,,,,,
2013-04-16 13:50:00 JST,0.022,0.4,,,,,,,,
2013-04-16 14:00:00 JST,0.022,0.3,,,,,,,,
2013-04-16 14:10:00 JST,0.018,0.6,,,,,,,,
2013-04-16 14:20:00 JST,0.018,0.3,,,,,,,,
2013-04-16 14:30:00 JST,0.018,0.2,,,,,,,,
2013-04-16 14:40:00 JST,0.020,0.3,,,,,,,,
2013-04-16 14:50:00 JST,0.019,0.2,,,,,,,,
2013-04-16 15:00:00 JST,0.019,0.3,,,,,,,,
2013-04-16 15:10:00 JST,0.018,0.6,,,,,,,,
2013-04-16 15:20:00 JST,0.015,0.3,,,,,,,,
2013-04-16 15:30:00 JST,0.020,0.2,,,,,,,,
2013-04-16 15:40:00 JST,0.021,0.3,,,,,,,,
2013-04-16 15:50:00 JST,0.019,0.2,,,,,,,,
2013-04-16 16:00:00 JST,0.019,0.3,,,,,,,,
2013-04-16 16:10:00 JST,0.018,0.6,,,,,,,,
2013-04-16 16:20:00 JST,0.018,0.3,,,,,,,,
2013-04-16 16:30:00 JST,0.018,0.2,,,,,,,,
2013-04-16 16:40:00 JST,0.018,0.3,,,,,,,,
2013-04-16 16:50:00 JST,0.018,0.2,,,,,,,,
2013-04-16 17:00:00 JST,0.018,0.3,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
